# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\Saxion\Final_Embedded_Systems\ADC_HDMI_potmeter_met_scherm_magistraal_met_pongbars_van_beide_ADC\ADC_van_stack\DE10_NANO_ADC.csv
# Generated on: Tue Jan 28 11:43:55 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_DDR3_DQS_N[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,,
HPS_DDR3_DQS_P[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,,
HPS_DDR3_DQS_P[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_P[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,,
HPS_DDR3_DQS_P[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_P[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,,
HPS_DDR3_DQS_P[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_ODT,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_RAS_N,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_RESET_N,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_RZQ,Unknown,,,,,1.5 V,,,,,,,,,,,,,
HPS_DDR3_WE_N,Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_ENET_GTX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DIR,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_NXT,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_STP,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
